,Cve_LA,Viaje,Clase,Precio,Ruta,Cve_Cliente,ID_Pasajero,Pasajero,Edad
0,SW,2016-09-10,Economy,60,DAL-MDW,553.0,553.0,Nancy Lomonaco,34.0
1,AA,2016-06-11,Economy,150,DAL-SLC,554.0,554.0,Naresj Patel,25.0
2,DA,2016-09-21,Economy,68,DAL-AMA,554.0,554.0,Naresj Patel,25.0
3,UA,2016-06-28,Business,160,DAL-SLC,556.0,556.0,Nat Gilpin,55.0
4,SW,2016-06-25,Economy,65,DAL-OKC,557.0,557.0,Natalie DeCherney,63.0
5,SW,2016-12-02,Economy,126,DAL-MDW,557.0,557.0,Natalie DeCherney,63.0
6,AA,2016-06-25,Business,121,DAL-HOU,557.0,557.0,Natalie DeCherney,63.0
7,AA,2016-06-25,Economy,83,DAL-GRR,557.0,557.0,Natalie DeCherney,63.0
8,AA,2016-06-25,Economy,141,DAL-TUL,557.0,557.0,Natalie DeCherney,63.0
9,SW,2016-06-25,Economy,66,DAL-AMA,557.0,557.0,Natalie DeCherney,63.0
10,DA,2016-12-02,Economy,122,DAL-AUS,557.0,557.0,Natalie DeCherney,63.0
11,DA,2016-06-25,Business,146,DAL-LGA,557.0,557.0,Natalie DeCherney,63.0
12,UA,2016-12-02,Economy,152,DAL-PHX,557.0,557.0,Natalie DeCherney,63.0
13,SW,2016-11-08,Economy,63,DAL-GRR,559.0,559.0,Natalie Webber,57.0
14,AA,2016-11-08,Economy,158,DAL-ELP,559.0,559.0,Natalie Webber,57.0
15,AA,2016-05-21,Economy,71,DAL-HOU,561.0,561.0,Nathan Gelder,48.0
16,UA,2016-11-22,Economy,92,DAL-AMA,563.0,563.0,Neil Ducich,32.0
17,UA,2016-11-28,Economy,61,DAL-AMA,565.0,565.0,Neil Knudson,37.0
18,DA,2016-05-09,First Class,265,DAL-ATL,568.0,568.0,Nick Crebassa,21.0
19,KL,2016-04-27,Business,129,DAL-TUL,657.0,657.0,Jessica Norris,71.0
20,AV,2016-11-27,Business,132,DAL-OKC,694.0,694.0,Ronald Thompson,58.0
21,AM,2016-06-26,Economy,245,DAL-ELP,557.0,557.0,Natalie DeCherney,63.0
22,SW,2016-07-16,Economy,147,DAL-SLC,593.0,593.0,Paul Johnson,25.0
23,AV,2016-09-12,Business,139,DAL-HOU,632.0,632.0,Jeremiah Byrd,26.0
